模型名,中文名,描述
'nlp-star-conversational-text-to-sql','SPACE-T表格问答预训练模型-英文-通用领域-Large','本项目是多轮Text-to-SQL模型，可针对不同领域数据库和用户直接进行多轮对话，生成相应的SQL查询语句。用户可以在对话过程中表达自己对数据库模式的查询要求，并在系统的帮助下生成符合要求的SQL查询语句。'
'nlp-ponet-extractive-summarization-topic-level-chinese-base','PoNet抽取式话题摘要模型-中文-base-ICASSP2023-MUG-Track2','该模型基于PoNet模型架构，在AliMeeting4MUG Corpus训练，进行抽取式话题摘要任务。'
'guohua-diffusion','国画Diffusion模型','这是在国画上训练的微调Stable Diffusion模型'
'nlp-xlmr-named-entity-recognition-indo-ecommerce-title','XLM-R命名实体识别-印尼语-电商领域(商品标题)-base','XLM-R命名实体识别-印尼语-电商领域(商品标题)-base是基于20K电商领域商品标题数据训练得到的印尼语命名实体识别模型，可根据用户输入的印尼语商品标题文本产出命名实体识别结果。'
'nlp-structbert-nli-chinese-tiny','StructBERT自然语言推理-中文-通用-tiny','StructBERT自然语言推理-中文-通用-tiny是在structbert-tiny-chinese预训练模型的基础上，用CMNLI、OCNLI两个数据集（45.8w条数据）训练出来的自然语言推理模型'
'nlp-bert-sentence-similarity-english-base','BERT文本相似度-英文-base-学术数据集paws','该模型是在bert-base-uncased预训练模型的基础上，用paws数据集训练出来的文本相似度匹配模型。'
'nlp-domain-classification-chinese','FastText文本领域分类-中文-国民经济行业18大类','用于中文的文本领域分类，分类依据为国民经济行业分类（GB/T 4754—2017），原分类标准有20大类，目前支持18个行业的分类：交通运输仓储邮政\住宿餐饮\信息软件\农业\制造业\卫生医疗\国际组织\建筑\房地产\政府组织\教育\文体娱乐\水利环境\电力燃气水生产\科学技术\租赁法律\采矿\金融。'
'nlp-structbert-faq-question-answering-chinese-finance-base','StructBERT FAQ问答-中文-金融领域-base','金融领域FAQ问答模型以StructBERT FAQ问答-中文-通用领域-base模型为基础，在金融领域数据上微调得到，适用于金融领域FAQ问答任务，包括但不局限于：银行、保险等场景；'
'nlp-xlmr-word-segmentation-thai','XLM-R分词-泰语-通用领域-base','XLM-R分词-泰语-通用领域-base是基于BEST-2010数据训练得到的泰语分词模型，可根据用户输入的泰语文本产出分词结果。'
'nlp-corom-passage-ranking-chinese-tiny','CoROM语义相关性-中文-通用领域-tiny','基于ROM-tiny预训练模型的通用领域中文语义相关性模型，模型以一个source sentence以及一个句子列表作为输入，最终输出source sentence与列表中每个句子的相关性得分（0-1，分数越高代表两者越相关）。'
'nlp-corom-sentence-embedding-chinese-tiny-medical','CoROM文本向量-中文-医疗领域-tiny','基于CoROM-tiny预训练语言模型的电商领域中文文本表示模型，基于输入的句子产出对应的文本向量，文本向量可以使用在下游的文本检索、句子相似度计算、文本聚类等任务中。'
'nlp-bert-zero-shot-english-base','BERT零样本分类-英文-base-学术数据集mnli','该模型使用bert-base-uncased在multi_nli数据集(将英文数据集重新翻译得到中文数据集)上面进行了训练得到。'
'nlp-structbert-keyphrase-extraction-base-icassp2023-mug-track4-baseline','StructBert关键词抽取-中文-base-ICASSP2023-MUG-Track4','ICASSP2023 MUG Track4 关键词抽取Baseline'
'nlp-corom-sentence-embedding-chinese-tiny','CoROM文本向量-中文-通用领域-tiny','基于CoROM-base预训练语言模型的通用领域中文文本表示模型，基于输入的句子产出对应的文本向量，文本向量可以使用在下游的文本检索、句子相似度计算、文本聚类等任务中。'
'nlp-corom-sentence-embedding-chinese-tiny-ecom','CoROM文本向量-中文-电商领域-tiny','基于CoROM-tiny预训练语言模型的电商领域中文文本表示模型，基于输入的句子产出对应的文本向量，文本向量可以使用在下游的文本检索、句子相似度计算、文本聚类等任务中。'
'nlp-corom-sentence-embedding-english-tiny','CoROM文本向量-英文-通用领域-tiny','基于CoROM-Base预训练模型的通用领域英文语义相关性模型，模型以一个source sentence以及一个句子列表作为输入，最终输出source sentence与列表中每个句子的相关性得分（0-1，分数越高代表两者越相关）。'
'nlp-structbert-faq-question-answering-chinese-gov-base','StructBERT FAQ问答-中文-政务领域-base','政务领域FAQ问答模型以StructBERT FAQ问答-中文-通用领域-base模型为基础，在政务领域数据上微调得到，适用于政务领域FAQ问答任务，包括但不局限于社保、公积金等场景；'
'nlp-bert-entity-embedding-chinese-base','Bert实体向量-中文-通用领域-base',''
'nlp-user-satisfaction-estimation-chinese','HiTransUSE用户满意度估计-中文-电商-base','支持对话级的用户满意度分析，输出（不满意，中立，满意）三种标签'
'nlp-ponet-extractive-summarization-doc-level-chinese-base','PoNet抽取式篇章摘要模型-中文-base-ICASSP2023-MUG-Track2','该模型基于PoNet模型架构，在AliMeeting4MUG Corpus训练，进行抽取式篇章摘要任务。'
'nlp-bert-entity-matching-chinese-base','Bert实体相关性-中文-通用领域-base','输入带实体标记的句子A，以及一个候选句子列表，模型输出句子A中的实体与列表中每个候选句子的相关性得分（0-1，分数越高代表两者越相关），'
'nlp-nested-ner-named-entity-recognition-chinese-base-med','NestedNER命名实体识别-中文-医疗领域-base',''
'nlp-ponet-document-segmentation-topic-level-chinese-base','PoNet文本话题分割模型-中文-base-ICASSP2023-MUG-Track1','该模型基于PoNet模型架构，在AliMeeting4MUG Corpus训练，对带段落的长文本进行中文话题分割。'
'nlp-corom-passage-ranking-chinese-tiny-ecom','CoROM语义相关性-中文-电商领域-tiny','基于CoROM-Base预训练模型的电商领域中文语义相关性模型，模型以一个source sentence以及一个句子列表作为输入，最终输出source sentence与列表中每个句子的相关性得分（0-1，分数越高代表两者越相关）。'
'nlp-bert-relation-extraction-chinese-base-commerce','DIRECT商品评价解析-中文-电商-base',''
'nlp-structbert-siamese-uie-chinese-base','SiameseUIE通用信息抽取-中文-base',''
'nlp-xlmr-named-entity-recognition-viet-ecommerce-title','XLM-R命名实体识别-越南语-电商领域(商品标题)-base','XLM-R命名实体识别-越南语-电商领域(商品标题)-base是基于20K电商领域商品标题数据训练得到的越南语命名实体识别模型，可根据用户输入的越南语商品标题文本产出命名实体识别结果。'
'nlp-structbert-fill-mask-chinese-large','StructBERT完形填空模型-中文-large','nlp_structbert_fill-mask_chinese-large是海量中文数据训练的自然语言理解预训练模型。'
'nlp-csanmt-translation-ru2en-base','CSANMT连续语义增强机器翻译-俄英-通用领域-base','基于连续语义增强的神经机器翻译模型以有限的训练样本为锚点，学习连续语义分布以建模全局的句子空间，并据此构建神经机器翻译引擎，有效提升数据的利用效率，显著改善模型的泛化能力和鲁棒性。'
'uni-fold-monomer','Uni-Fold-Monomer 开源的蛋白质单体结构预测模型','开源的蛋白质单体结构预测模型，输入蛋白质单体的一级结构（1D序列），预测蛋白质的三级结构（3D位置），同时给出预测结果的置信度。本模型主要用于蛋白质单体的预测。'
'nlp-xlmr-named-entity-recognition-eng-ecommerce-title','XLM-R命名实体识别-英语-电商领域(商品标题)-base','XLM-R命名实体识别-英语-电商领域(商品标题)-base是基于20K电商领域商品标题数据训练得到的英语命名实体识别模型，可根据用户输入的英语商品标题文本产出命名实体识别结果。'
'nlp-veco-fill-mask-large','VECO完形填空模型-多语言-large','nlp_veco_fill-mask-large是CommonCrawl Corpus训练的自然语言理解多语言预训练模型。'
'nlp-bert-fill-mask-chinese-base','BERT完形填空模型-中文-base','nlp_bert_fill-mask_chinese-base 是wikipedia_zh/baike/news训练的自然语言理解预训练模型。'
'glm130b','GLM130B-中英大模型','模型集成中'
'nlp-mgimn-faq-question-answering-chinese-base','MGIMN FAQ问答-中文-通用领域-base','MGIMN FAQ问答模型以StructBERT预训练模型为底座，采用多维度交互式匹配模型网络结构，通过小样本meta-learning的方式在海量业务数据预训练(亿级)、微调(百万级)得到，相对于StructBERT模型效果更优，适用于FAQ问答任务和通用小样本分类任务；'
'nlp-unite-mup-translation-evaluation-multilingual-large','统一的翻译质量评价模型-多语言-新闻领域-large','Kendall's Tau on WMT'19 Metrics Shared Task dataset'
'nlp-space-dialog-state-tracking','SPACE对话状态追踪-英文-base','该模型是 SPACE 基于一个对话状态跟踪数据集 MultiWOZ2.2 微调后的下游模型，称作 space_dialog-state-tracking，可专门用来做旅游、餐馆等领域的对话状态跟踪任务。'
'nlp-mgimn-faq-question-answering-chinese-finance-base','MGIMN FAQ问答-中文-金融领域-base','金融领域MGIMN FAQ问答模型以MGIMN FAQ问答-中文-通用领域-base模型为基础，在金融领域数据上微调得到，适用于金融领域FAQ问答任务，包括但不局限于：银行、保险等场景；MGIMN系列模型相对于StructBERT FAQ系列模型效果更优；'
'nlp-structbert-emotion-classification-chinese-base','StructBERT情绪分类-中文-七分类-base',''
'nlp-unite-up-translation-evaluation-english-large','统一的翻译质量评价模型-英语-新闻领域-large','翻译质量评价，即对翻译文本进行质量评估，在给定源端输入、目标端参考答案、或两者均有提供的情况下，算法用于评估所生成文本的质量。本单一模型可同时支持提供源端输入（src-only）、目标端参考译文（ref-only）、或者两者均有（src-ref-combined）三种评价场景。 模型由一个预训练语言模型（Pretrained Language Model）和一个前馈神经网络（Feedforward Network）组成。模型首先在伪语料上进行继续预训练，而后在WMT'17-18 Metrics Shared Task数据集上进行微调。 此模型为目标语为英语的large版本。'
'nlp-translation-quality-estimation-multilingual','QEMind翻译质量评估-多语言-通用领域','对翻译质量进行打分评估的模型，支持多个语向，获WMT 2021世界机器翻译大赛质量评估DA子任务冠军'
'codegeex-code-translation-13b','CodeGeeX-代码翻译-13B','CodeGeeX是一个具有130亿参数的多编程语言代码生成预训练模型，在20多种编程语言的代码语料库（>8500亿Token）上经过历时两个月预训练得到。CodeGeeX采用华为MindSpore框架实现，在鹏城实验室的“鹏城云脑ll”平台上训练而成。'
'uni-fold-multimer','Uni-Fold-Multimer 开源的蛋白质复合物结构预测模型','一个开源的蛋白质复合物结构预测模型。'
'multilingual-glm-summarization-en','mGLM多语言大模型-生成式摘要-英文','mGLM多语言大模型可从大段文本中提取关键信息，为你生成简短的英文摘要，支持多种语言输入'
'mo-di-diffusion','迪士尼风格扩散生成模型','在迪士尼动画电影截图上finetune的Stable Diffusion模型'
'analog-diffusion','胶片质感扩散生成模型','输出胶片摄影质感的图像；微调自Stable Diffusion'
'nlp-ponet-fill-mask-english-base','PoNet预训练模型-英文-base','nlp_ponet_fill-mask_english-base是用bookcorpus/wikitext训练的预训练PoNet模型。'
'nlp-medical-structbert-backbone-base','StructBERT预训练模型-中文-医疗领域-base','医疗StructBERT预训练模型'
